"product","firm","segment","price","share","markup_monoproduct","mc_monoproduct","markup_multiproduct","mc_multiproduct","markup_mono_over_price","markup_multi_over_price"
"CornFlakes","KG","Fam",1.81,0.0567,-0.901129464985248,2.71112946498525,-1.26061904837696,3.07061904837696,-0.497861582864778,-0.69647461236296
"Cheerios","GM","Fam",3.16,0.0438,-0.888972416147861,4.04897241614786,-1.14544592955206,4.30544592955206,-0.281320384856918,-0.362482889098754
"RiceKrispies","KG","Fam",2.96,0.0404,-0.885822659775516,3.84582265977552,-1.26061904837696,4.22061904837696,-0.299264412086323,-0.425884813640866
"FrostedFlakes","KG","Fam",2.52,0.0382,-0.883796448659373,3.40379644865937,-1.26061904837696,3.78061904837696,-0.350712876452132,-0.500245654117842
"RaisinBran","KG","Fam",2.34,0.0273,-0.873892694891112,3.21389269489111,-1.26061904837696,3.60061904837696,-0.373458416620133,-0.538726089049981
"Total","GM","Adult",3.61,0.0236,-0.870581139205843,4.48058113920584,-1.14544592955206,4.75544592955206,-0.241158210306328,-0.317298041427164
"HoneyNutCheerios","GM","Fam",3.14,0.0226,-0.869690427993232,4.00969042799323,-1.14544592955206,4.28544592955206,-0.276971473883195,-0.364791697309574
"SpecialK","KG","Adult",3.48,0.0216,-0.86880153753126,4.34880153753126,-1.26061904837696,4.74061904837696,-0.249655614233121,-0.362246852981885
"GrapeNuts","PT","Adult",2.14,0.0212,-0.868446489906605,3.00844648990661,-0.913918314504446,3.05391831450445,-0.405816116778787,-0.427064632946003
"SpoonSizeShdWt","NB","Adult",2.81,0.0208,-0.868091732353539,3.67809173235354,-0.884256136815338,3.69425613681534,-0.308929442118697,-0.31468189922254
"100%Natural","QK","Adult",2.24,0.0196,-0.867029196573424,3.10702919657342,-0.889158393640779,3.12915839364078,-0.387066605613136,-0.396945711446776
"FrostedMiniWheats","KG","Adult",2.62,0.0184,-0.865969258680302,3.4859692586803,-1.26061904837696,3.88061904837696,-0.330522617816909,-0.481152308540825
"NutriGrain","KG","Adult",2.87,0.0155,-0.863418409670477,3.73341840967048,-1.26061904837696,4.13061904837696,-0.300842651453128,-0.439240086542495
"Mueslix","KG","Adult",3.31,0.0153,-0.863243042876597,4.1732430428766,-1.26061904837696,4.57061904837695,-0.260798502379636,-0.380851676246814
"Wheaties","GM","Fam",2.55,0.0152,-0.863155386190683,3.41315538619068,-1.14544592955206,3.69544592955206,-0.338492308310072,-0.449194482177279
"RaisinBran","PT","Fam",2.23,0.0146,-0.86262981968803,3.09262981968803,-0.913918314504447,3.14391831450445,-0.38682951555517,-0.409828840584954
